date,user_id,first_action,upgraded_to_L2_within_1d,upgraded_to_L2_within_3d
2025-12-01,u013,view,0,0
2025-12-01,u031,view,0,1
2025-12-01,u071,like,0,0
2025-12-01,u076,view,0,0
2025-12-02,u008,view,0,0
2025-12-02,u020,view,1,1
2025-12-02,u034,view,0,0
2025-12-02,u042,like,0,0
2025-12-02,u065,view,0,0
2025-12-02,u067,view,0,0
2025-12-02,u075,view,1,1
2025-12-02,u079,comment,0,0
2025-12-03,u037,view,0,0
2025-12-03,u039,view,0,0
2025-12-03,u050,view,0,0
2025-12-03,u066,like,0,0
2025-12-03,u074,comment,0,0
2025-12-04,u006,view,0,0
2025-12-04,u040,view,0,0
2025-12-04,u041,view,0,0
2025-12-04,u059,view,0,0
2025-12-04,u071,like,0,0
2025-12-05,u026,view,0,0
2025-12-05,u040,comment,0,0
2025-12-05,u046,view,0,0
2025-12-06,u004,view,0,0
2025-12-06,u007,comment,0,0
2025-12-06,u064,comment,0,0
2025-12-06,u068,view,0,0
2025-12-06,u077,view,0,0
2025-12-07,u001,view,0,0
2025-12-07,u013,like,0,0
2025-12-07,u016,view,0,0
2025-12-07,u027,like,0,0
2025-12-07,u032,view,0,0
2025-12-07,u041,comment,0,0
2025-12-07,u051,view,0,0
2025-12-07,u056,view,0,0
2025-12-07,u069,comment,0,0
2025-12-07,u072,view,0,0
2025-12-07,u074,comment,0,0
2025-12-08,u011,post,0,0
2025-12-08,u034,view,0,0
2025-12-08,u036,view,0,0
2025-12-08,u045,view,0,0
2025-12-09,u009,view,0,0
2025-12-09,u011,view,0,0
2025-12-09,u012,comment,0,0
2025-12-09,u027,view,0,1
2025-12-09,u030,view,0,0
2025-12-09,u036,comment,0,0
2025-12-09,u053,comment,0,0
2025-12-09,u077,view,0,0
2025-12-10,u015,view,0,0
2025-12-10,u025,comment,0,0
2025-12-10,u042,view,0,0
2025-12-10,u051,view,0,0
2025-12-10,u074,comment,0,0
2025-12-11,u003,like,0,0
2025-12-11,u012,view,0,0
2025-12-11,u045,view,0,0
2025-12-11,u055,like,0,1
2025-12-11,u057,view,0,0
2025-12-11,u058,view,0,0
2025-12-11,u068,view,0,0
2025-12-11,u071,view,0,0
2025-12-12,u002,view,0,0
2025-12-12,u013,post,0,0
2025-12-12,u042,comment,0,0
2025-12-12,u048,comment,0,0
2025-12-12,u052,like,0,0
2025-12-12,u063,view,0,0
2025-12-12,u070,view,0,0
2025-12-13,u007,like,0,0
2025-12-13,u018,view,0,0
2025-12-13,u027,post,0,0
2025-12-13,u032,view,0,0
2025-12-13,u050,like,0,0
2025-12-13,u062,view,0,0
2025-12-14,u007,view,0,0
2025-12-14,u014,like,0,0
2025-12-14,u018,view,0,0
2025-12-14,u027,view,0,0
2025-12-14,u034,like,0,1
2025-12-14,u054,view,0,0
2025-12-14,u071,view,0,0
2025-12-14,u072,view,0,0
2025-12-14,u074,view,0,0
2025-12-15,u006,view,0,0
2025-12-15,u010,view,0,0
2025-12-15,u021,view,0,0
2025-12-15,u024,like,0,0
2025-12-15,u027,comment,0,0
2025-12-15,u035,like,0,0
2025-12-15,u046,view,0,0
2025-12-16,u013,view,0,0
2025-12-16,u014,like,0,0
2025-12-16,u024,comment,0,0
2025-12-16,u034,view,1,1
2025-12-16,u072,view,0,0
2025-12-17,u001,view,1,1
2025-12-17,u013,view,0,0
2025-12-17,u031,view,0,0
2025-12-17,u037,view,0,0
2025-12-17,u046,like,0,1
2025-12-17,u059,like,0,0
2025-12-17,u066,view,0,0
2025-12-17,u079,view,0,0
2025-12-18,u010,comment,0,0
2025-12-18,u013,view,0,1
2025-12-18,u022,like,0,0
2025-12-18,u023,comment,0,0
2025-12-18,u030,view,0,0
2025-12-18,u031,comment,0,0
2025-12-18,u068,view,0,0
2025-12-18,u075,like,0,0
2025-12-18,u076,view,0,1
2025-12-19,u010,view,0,0
2025-12-19,u021,comment,0,0
2025-12-19,u042,view,0,0
2025-12-19,u043,comment,0,0
2025-12-19,u056,view,0,0
2025-12-19,u063,comment,0,0
2025-12-20,u003,view,0,0
2025-12-20,u021,like,0,0
2025-12-20,u023,view,0,0
2025-12-20,u025,view,0,0
2025-12-20,u037,view,0,0
2025-12-20,u043,view,0,0
2025-12-20,u065,like,0,0
2025-12-20,u066,view,0,0
2025-12-20,u072,view,0,0
2025-12-21,u005,post,0,0
2025-12-21,u018,view,0,0
2025-12-21,u020,view,0,0
2025-12-21,u023,view,0,0
2025-12-21,u033,view,0,0
2025-12-21,u050,view,0,0
2025-12-21,u051,view,0,0
2025-12-21,u054,view,0,0
2025-12-21,u075,like,0,0
