user_id,event_time,action,event_date
9,2011-06-21 20:19:34.730,question,2011-06-21
13,2011-06-21 20:22:33.760,question,2011-06-21
9,2011-06-21 20:24:28.080,answer,2011-06-21
24,2011-06-21 20:24:57.160,question,2011-06-21
12,2011-06-21 20:25:14.257,comment,2011-06-21
13,2011-06-21 20:25:56.787,question,2011-06-21
19,2011-06-21 20:26:53.323,question,2011-06-21
9,2011-06-21 20:27:35.300,comment,2011-06-21
26,2011-06-21 20:30:38.687,question,2011-06-21
23,2011-06-21 20:31:21.800,question,2011-06-21
10,2011-06-21 20:31:41.163,question,2011-06-21
20,2011-06-21 20:32:23.687,comment,2011-06-21
30,2011-06-21 20:32:25.950,question,2011-06-21
9,2011-06-21 20:32:35.530,answer,2011-06-21
22,2011-06-21 20:34:22.563,question,2011-06-21
23,2011-06-21 20:34:23.453,question,2011-06-21
27,2011-06-21 20:34:43.617,question,2011-06-21
19,2011-06-21 20:36:19.323,question,2011-06-21
26,2011-06-21 20:38:00.073,answer,2011-06-21
35,2011-06-21 20:38:27.333,answer,2011-06-21
33,2011-06-21 20:38:27.483,answer,2011-06-21
30,2011-06-21 20:38:39.520,answer,2011-06-21
26,2011-06-21 20:39:27.310,answer,2011-06-21
19,2011-06-21 20:40:34.517,answer,2011-06-21
23,2011-06-21 20:40:53.260,answer,2011-06-21
34,2011-06-21 20:41:15.210,question,2011-06-21
8,2011-06-21 20:42:07.667,question,2011-06-21
30,2011-06-21 20:42:08.330,comment,2011-06-21
28,2011-06-21 20:43:59.437,question,2011-06-21
26,2011-06-21 20:44:09.990,comment,2011-06-21
19,2011-06-21 20:44:39.367,question,2011-06-21
30,2011-06-21 20:44:40.777,comment,2011-06-21
26,2011-06-21 20:46:12.313,answer,2011-06-21
34,2011-06-21 20:46:55.673,comment,2011-06-21
33,2011-06-21 20:48:29.023,question,2011-06-21
8,2011-06-21 20:48:56.150,comment,2011-06-21
13,2011-06-21 20:49:19.707,comment,2011-06-21
30,2011-06-21 20:49:43.270,answer,2011-06-21
34,2011-06-21 20:54:55.073,question,2011-06-21
28,2011-06-21 20:55:21.640,question,2011-06-21
46,2011-06-21 20:55:46.727,answer,2011-06-21
40,2011-06-21 20:56:01.187,answer,2011-06-21
19,2011-06-21 20:57:15.727,answer,2011-06-21
13,2011-06-21 20:57:16.397,comment,2011-06-21
23,2011-06-21 20:57:42.107,answer,2011-06-21
9,2011-06-21 20:58:13.947,answer,2011-06-21
33,2011-06-21 20:59:42.027,comment,2011-06-21
8,2011-06-21 21:00:05.630,comment,2011-06-21
11,2011-06-21 21:00:13.773,answer,2011-06-21
28,2011-06-21 21:00:24.430,question,2011-06-21
9,2011-06-21 21:01:11.480,answer,2011-06-21
30,2011-06-21 21:01:14.583,comment,2011-06-21
40,2011-06-21 21:01:23.930,answer,2011-06-21
28,2011-06-21 21:01:41.543,comment,2011-06-21
23,2011-06-21 21:02:42.727,answer,2011-06-21
10,2011-06-21 21:03:12.133,question,2011-06-21
8,2011-06-21 21:03:13.977,comment,2011-06-21
30,2011-06-21 21:04:05.957,comment,2011-06-21
