user_id,event_date,total_events,question_cnt,answer_cnt,comment_cnt,active_flag
10,2011-06-21,9,3,2,4,1
11,2011-06-21,10,2,7,1,1
12,2011-06-21,2,0,0,2,1
13,2011-06-21,9,2,1,6,1
19,2011-06-21,16,7,2,7,1
20,2011-06-21,4,0,0,4,1
22,2011-06-21,5,1,2,2,1
23,2011-06-21,7,2,5,0,1
24,2011-06-21,4,2,2,0,1
26,2011-06-21,6,1,4,1,1
27,2011-06-21,1,1,0,0,1
28,2011-06-21,5,3,0,2,1
30,2011-06-21,20,4,7,9,1
31,2011-06-21,4,3,1,0,1
33,2011-06-21,3,1,1,1,1
34,2011-06-21,6,2,2,2,1
35,2011-06-21,1,0,1,0,1
40,2011-06-21,6,0,6,0,1
44,2011-06-21,3,1,1,1,1
46,2011-06-21,3,0,1,2,1
48,2011-06-21,5,0,4,1,1
51,2011-06-21,1,1,0,0,1
56,2011-06-21,3,1,2,0,1
58,2011-06-21,1,0,1,0,1
59,2011-06-21,3,1,2,0,1
60,2011-06-21,2,1,1,0,1
63,2011-06-21,2,1,0,1,1
64,2011-06-21,2,1,1,0,1
65,2011-06-21,6,0,4,2,1
66,2011-06-21,2,1,1,0,1
68,2011-06-21,5,0,3,2,1
72,2011-06-21,1,1,0,0,1
75,2011-06-21,1,1,0,0,1
8,2011-06-21,5,1,1,3,1
81,2011-06-21,1,0,1,0,1
9,2011-06-21,8,1,6,1,1
10,2011-06-22,3,0,0,3,1
101,2011-06-22,32,4,18,10,1
104,2011-06-22,2,1,1,0,1
108,2011-06-22,5,0,3,2,1
109,2011-06-22,1,1,0,0,1
11,2011-06-22,1,0,0,1,1
112,2011-06-22,1,1,0,0,1
113,2011-06-22,1,0,1,0,1
114,2011-06-22,1,0,1,0,1
116,2011-06-22,2,1,1,0,1
121,2011-06-22,2,0,1,1,1
124,2011-06-22,7,2,2,3,1
125,2011-06-22,1,0,0,1,1
128,2011-06-22,2,0,0,2,1
13,2011-06-22,7,0,4,3,1
130,2011-06-22,2,0,0,2,1
131,2011-06-22,3,0,1,2,1
135,2011-06-22,1,0,0,1,1
136,2011-06-22,1,0,1,0,1
18,2011-06-22,2,0,2,0,1
19,2011-06-22,14,3,4,7,1
22,2011-06-22,1,0,0,1,1
24,2011-06-22,4,1,1,2,1
26,2011-06-22,6,0,4,2,1
30,2011-06-22,7,0,3,4,1
31,2011-06-22,1,0,0,1,1
33,2011-06-22,5,2,3,0,1
34,2011-06-22,4,0,1,3,1
35,2011-06-22,1,0,1,0,1
36,2011-06-22,1,0,0,1,1
39,2011-06-22,4,2,0,2,1
46,2011-06-22,2,0,1,1,1
50,2011-06-22,3,1,0,2,1
54,2011-06-22,11,0,3,8,1
57,2011-06-22,1,1,0,0,1
59,2011-06-22,2,0,1,1,1
62,2011-06-22,2,0,1,1,1
63,2011-06-22,3,0,1,2,1
64,2011-06-22,6,1,3,2,1
65,2011-06-22,12,1,6,5,1
66,2011-06-22,3,0,0,3,1
75,2011-06-22,1,0,1,0,1
8,2011-06-22,2,0,2,0,1
81,2011-06-22,3,1,1,1,1
85,2011-06-22,10,1,3,6,1
86,2011-06-22,3,2,0,1,1
87,2011-06-22,3,1,0,2,1
88,2011-06-22,3,1,1,1,1
9,2011-06-22,3,0,3,0,1
91,2011-06-22,2,1,1,0,1
95,2011-06-22,2,1,0,1,1
96,2011-06-22,2,0,2,0,1
10,2011-06-23,1,0,0,1,1
101,2011-06-23,13,1,4,8,1
102,2011-06-23,1,0,1,0,1
104,2011-06-23,1,0,1,0,1
108,2011-06-23,3,1,1,1,1
11,2011-06-23,1,1,0,0,1
116,2011-06-23,2,0,1,1,1
121,2011-06-23,1,0,1,0,1
124,2011-06-23,3,0,1,2,1
130,2011-06-23,2,0,1,1,1
140,2011-06-23,19,8,2,9,1
144,2011-06-23,1,1,0,0,1
147,2011-06-23,5,0,2,3,1
19,2011-06-23,15,0,5,10,1
28,2011-06-23,1,0,0,1,1
31,2011-06-23,1,1,0,0,1
