event_date,base_users,retained_users,d1_retention
2011-06-21,36,22,0.6111111111111112
2011-06-22,52,24,0.46153846153846156
2011-06-23,33,17,0.5151515151515151
2011-06-24,30,12,0.4
2011-06-25,17,10,0.5882352941176471
2011-06-26,14,8,0.5714285714285714
2011-06-27,26,13,0.5
2011-06-28,38,23,0.6052631578947368
2011-06-29,61,17,0.2786885245901639
2011-06-30,25,9,0.36
2011-07-01,18,3,0.16666666666666666
2011-07-02,14,4,0.2857142857142857
2011-07-03,13,4,0.3076923076923077
2011-07-04,16,6,0.375
2011-07-05,21,6,0.2857142857142857
2011-07-06,14,5,0.35714285714285715
2011-07-07,20,6,0.3
2011-07-08,14,5,0.35714285714285715
2011-07-09,13,5,0.38461538461538464
2011-07-10,17,6,0.35294117647058826
2011-07-11,26,11,0.4230769230769231
2011-07-12,21,10,0.47619047619047616
2011-07-13,19,6,0.3157894736842105
2011-07-14,12,7,0.5833333333333334
2011-07-15,17,8,0.47058823529411764
2011-07-16,13,6,0.46153846153846156
2011-07-17,11,4,0.36363636363636365
2011-07-18,21,7,0.3333333333333333
2011-07-19,14,8,0.5714285714285714
2011-07-20,19,7,0.3684210526315789
2011-07-21,13,6,0.46153846153846156
2011-07-22,14,3,0.21428571428571427
2011-07-23,7,4,0.5714285714285714
2011-07-24,9,5,0.5555555555555556
2011-07-25,13,5,0.38461538461538464
2011-07-26,15,4,0.26666666666666666
2011-07-27,11,6,0.5454545454545454
2011-07-28,18,7,0.3888888888888889
2011-07-29,14,3,0.21428571428571427
2011-07-30,7,2,0.2857142857142857
2011-07-31,16,10,0.625
2011-08-01,31,10,0.3225806451612903
2011-08-02,24,8,0.3333333333333333
2011-08-03,15,5,0.3333333333333333
2011-08-04,13,4,0.3076923076923077
2011-08-05,13,5,0.38461538461538464
2011-08-06,20,3,0.15
2011-08-07,12,1,0.08333333333333333
2011-08-08,18,6,0.3333333333333333
2011-08-09,15,7,0.4666666666666667
2011-08-10,17,3,0.17647058823529413
2011-08-11,8,1,0.125
2011-08-12,14,5,0.35714285714285715
2011-08-13,14,6,0.42857142857142855
2011-08-14,9,4,0.4444444444444444
2011-08-15,21,6,0.2857142857142857
2011-08-16,17,6,0.35294117647058826
2011-08-17,15,4,0.26666666666666666
2011-08-18,9,2,0.2222222222222222
2011-08-19,11,0,0.0
2011-08-20,3,1,0.3333333333333333
2011-08-21,5,2,0.4
2011-08-22,19,9,0.47368421052631576
2011-08-23,20,9,0.45
2011-08-24,25,8,0.32
2011-08-25,23,9,0.391304347826087
2011-08-26,25,10,0.4
2011-08-27,15,5,0.3333333333333333
2011-08-28,12,3,0.25
2011-08-29,10,7,0.7
2011-08-30,16,7,0.4375
2011-08-31,18,8,0.4444444444444444
2011-09-01,18,7,0.3888888888888889
2011-09-02,16,2,0.125
2011-09-03,4,1,0.25
2011-09-04,8,3,0.375
2011-09-05,11,6,0.5454545454545454
2011-09-06,24,5,0.20833333333333334
2011-09-07,13,5,0.38461538461538464
2011-09-08,9,3,0.3333333333333333
2011-09-09,17,3,0.17647058823529413
2011-09-10,9,2,0.2222222222222222
2011-09-11,9,5,0.5555555555555556
2011-09-12,16,7,0.4375
2011-09-13,14,7,0.5
2011-09-14,16,7,0.4375
2011-09-15,15,8,0.5333333333333333
2011-09-16,20,8,0.4
2011-09-17,14,3,0.21428571428571427
2011-09-18,10,2,0.2
2011-09-19,11,4,0.36363636363636365
2011-09-20,18,9,0.5
2011-09-21,14,9,0.6428571428571429
2011-09-22,28,12,0.42857142857142855
2011-09-23,18,10,0.5555555555555556
2011-09-24,14,4,0.2857142857142857
2011-09-25,6,3,0.5
2011-09-26,24,8,0.3333333333333333
2011-09-27,21,9,0.42857142857142855
