event_date,dau
2011-06-21,36
2011-06-22,52
2011-06-23,33
2011-06-24,30
2011-06-25,17
2011-06-26,14
2011-06-27,26
2011-06-28,38
2011-06-29,61
2011-06-30,25
2011-07-01,18
2011-07-02,14
2011-07-03,13
2011-07-04,16
2011-07-05,21
2011-07-06,14
2011-07-07,20
2011-07-08,14
2011-07-09,13
2011-07-10,17
2011-07-11,26
2011-07-12,21
2011-07-13,19
2011-07-14,12
2011-07-15,17
2011-07-16,13
2011-07-17,11
2011-07-18,21
2011-07-19,14
2011-07-20,19
2011-07-21,13
2011-07-22,14
2011-07-23,7
2011-07-24,9
2011-07-25,13
2011-07-26,15
2011-07-27,11
2011-07-28,18
2011-07-29,14
2011-07-30,7
2011-07-31,16
2011-08-01,31
2011-08-02,24
2011-08-03,15
2011-08-04,13
2011-08-05,13
2011-08-06,20
2011-08-07,12
2011-08-08,18
2011-08-09,15
2011-08-10,17
2011-08-11,8
2011-08-12,14
2011-08-13,14
2011-08-14,9
2011-08-15,21
2011-08-16,17
2011-08-17,15
2011-08-18,9
2011-08-19,11
2011-08-20,3
2011-08-21,5
2011-08-22,19
2011-08-23,20
2011-08-24,25
2011-08-25,23
2011-08-26,25
2011-08-27,15
2011-08-28,12
2011-08-29,10
2011-08-30,16
2011-08-31,18
2011-09-01,18
2011-09-02,16
2011-09-03,4
2011-09-04,8
2011-09-05,11
2011-09-06,24
2011-09-07,13
2011-09-08,9
2011-09-09,17
2011-09-10,9
2011-09-11,9
2011-09-12,16
2011-09-13,14
2011-09-14,16
2011-09-15,15
2011-09-16,20
2011-09-17,14
2011-09-18,10
2011-09-19,11
2011-09-20,18
2011-09-21,14
2011-09-22,28
2011-09-23,18
2011-09-24,14
2011-09-25,6
2011-09-26,24
2011-09-27,21
2011-09-28,13
2011-09-29,17
2011-09-30,13
2011-10-01,13
2011-10-02,18
2011-10-03,23
2011-10-04,14
2011-10-05,16
2011-10-06,9
2011-10-07,18
2011-10-08,8
2011-10-09,16
2011-10-10,14
2011-10-11,6
2011-10-12,9
2011-10-13,17
2011-10-14,10
2011-10-15,13
2011-10-16,15
2011-10-17,16
2011-10-18,16
2011-10-19,23
2011-10-20,20
2011-10-21,11
2011-10-22,14
2011-10-23,16
2011-10-24,18
2011-10-25,7
2011-10-26,26
2011-10-27,21
2011-10-28,41
2011-10-29,17
2011-10-30,8
2011-10-31,25
2011-11-01,14
2011-11-02,20
2011-11-03,21
2011-11-04,16
2011-11-05,18
2011-11-06,16
2011-11-07,33
2011-11-08,21
2011-11-09,30
2011-11-10,28
2011-11-11,7
2011-11-12,13
2011-11-13,8
2011-11-14,15
2011-11-15,19
2011-11-16,17
2011-11-17,19
2011-11-18,18
2011-11-19,7
2011-11-20,7
2011-11-21,16
2011-11-22,18
2011-11-23,20
2011-11-24,11
2011-11-25,17
2011-11-26,14
2011-11-27,10
2011-11-28,18
2011-11-29,32
2011-11-30,24
2011-12-01,20
2011-12-02,23
2011-12-03,10
2011-12-04,12
2011-12-05,20
2011-12-06,19
2011-12-07,29
2011-12-08,19
2011-12-09,22
2011-12-10,13
2011-12-11,8
2011-12-12,23
2011-12-13,22
2011-12-14,22
2011-12-15,19
2011-12-16,22
2011-12-17,15
2011-12-18,12
2011-12-19,21
2011-12-20,24
2011-12-21,21
2011-12-22,22
2011-12-23,14
2011-12-24,11
2011-12-25,10
2011-12-26,12
2011-12-27,19
2011-12-28,24
2011-12-29,23
2011-12-30,16
2011-12-31,5
2012-01-01,10
2012-01-02,16
2012-01-03,13
2012-01-04,23
2012-01-05,14
2012-01-06,4
2012-01-07,12
2012-01-08,16
2012-01-09,18
2012-01-10,21
2012-01-11,26
2012-01-12,27
2012-01-13,25
2012-01-14,8
2012-01-15,10
2012-01-16,24
2012-01-17,24
2012-01-18,27
2012-01-19,24
2012-01-20,21
2012-01-21,19
2012-01-22,17
2012-01-23,33
2012-01-24,29
2012-01-25,23
2012-01-26,25
2012-01-27,20
2012-01-28,14
2012-01-29,24
2012-01-30,37
2012-01-31,36
2012-02-01,21
2012-02-02,40
2012-02-03,17
2012-02-04,12
2012-02-05,13
2012-02-06,15
2012-02-07,23
2012-02-08,33
2012-02-09,25
2012-02-10,17
2012-02-11,12
2012-02-12,14
2012-02-13,28
2012-02-14,22
2012-02-15,21
2012-02-16,26
2012-02-17,14
2012-02-18,10
2012-02-19,17
2012-02-20,31
2012-02-21,27
2012-02-22,24
2012-02-23,20
2012-02-24,17
2012-02-25,12
2012-02-26,13
2012-02-27,20
2012-02-28,17
2012-02-29,16
2012-03-01,19
2012-03-02,16
2012-03-03,9
2012-03-04,13
2012-03-05,22
2012-03-06,23
2012-03-07,16
2012-03-08,25
2012-03-09,14
2012-03-10,9
2012-03-11,16
2012-03-12,13
2012-03-13,21
2012-03-14,22
2012-03-15,26
2012-03-16,21
2012-03-17,10
2012-03-18,15
2012-03-19,18
2012-03-20,29
2012-03-21,12
2012-03-22,16
2012-03-23,21
2012-03-24,12
2012-03-25,17
2012-03-26,21
2012-03-27,20
2012-03-28,18
2012-03-29,21
2012-03-30,22
2012-03-31,15
2012-04-01,9
2012-04-02,19
2012-04-03,20
2012-04-04,15
2012-04-05,23
2012-04-06,11
2012-04-07,10
2012-04-08,12
2012-04-09,8
2012-04-10,15
2012-04-11,18
2012-04-12,16
2012-04-13,23
2012-04-14,16
2012-04-15,25
2012-04-16,18
2012-04-17,25
2012-04-18,16
2012-04-19,15
2012-04-20,18
2012-04-21,9
2012-04-22,17
2012-04-23,21
2012-04-24,21
2012-04-25,18
2012-04-26,20
2012-04-27,22
2012-04-28,17
2012-04-29,8
2012-04-30,21
2012-05-01,17
2012-05-02,20
2012-05-03,24
2012-05-04,30
2012-05-05,12
2012-05-06,11
2012-05-07,23
2012-05-08,25
2012-05-09,30
2012-05-10,23
2012-05-11,12
2012-05-12,19
2012-05-13,15
2012-05-14,31
2012-05-15,26
2012-05-16,22
2012-05-17,18
2012-05-18,13
2012-05-19,9
2012-05-20,17
