event_date,dau,base_users,retained_users,d1_retention,dau_90d_roll,d1_90d_roll
2011-06-21,36,36,22,0.6111111111111112,,
2011-06-22,52,52,24,0.4615384615384615,,
2011-06-23,33,33,17,0.5151515151515151,,
2011-06-24,30,30,12,0.4,,
2011-06-25,17,17,10,0.5882352941176471,,
2011-06-26,14,14,8,0.5714285714285714,,
2011-06-27,26,26,13,0.5,,
2011-06-28,38,38,23,0.6052631578947368,,
2011-06-29,61,61,17,0.2786885245901639,,
2011-06-30,25,25,9,0.36,,
2011-07-01,18,18,3,0.1666666666666666,,
2011-07-02,14,14,4,0.2857142857142857,,
2011-07-03,13,13,4,0.3076923076923077,,
2011-07-04,16,16,6,0.375,,
2011-07-05,21,21,6,0.2857142857142857,,
2011-07-06,14,14,5,0.3571428571428571,,
2011-07-07,20,20,6,0.3,,
2011-07-08,14,14,5,0.3571428571428571,,
2011-07-09,13,13,5,0.3846153846153846,,
2011-07-10,17,17,6,0.3529411764705882,,
2011-07-11,26,26,11,0.4230769230769231,,
2011-07-12,21,21,10,0.4761904761904761,,
2011-07-13,19,19,6,0.3157894736842105,,
2011-07-14,12,12,7,0.5833333333333334,,
2011-07-15,17,17,8,0.4705882352941176,,
2011-07-16,13,13,6,0.4615384615384615,,
2011-07-17,11,11,4,0.3636363636363636,,
2011-07-18,21,21,7,0.3333333333333333,,
2011-07-19,14,14,8,0.5714285714285714,,
2011-07-20,19,19,7,0.3684210526315789,22.166666666666668,0.41437942270462697
2011-07-21,13,13,6,0.4615384615384615,21.870967741935484,0.41590068202184743
2011-07-22,14,14,3,0.2142857142857142,21.625,0.4096002142800933
2011-07-23,7,7,4,0.5714285714285714,21.181818181818183,0.41450410389065323
2011-07-24,9,9,5,0.5555555555555556,20.823529411764707,0.41865267599844447
2011-07-25,13,13,5,0.3846153846153846,20.6,0.4176801819589284
2011-07-26,15,15,4,0.2666666666666666,20.444444444444443,0.413485362089699
2011-07-27,11,11,6,0.5454545454545454,20.18918918918919,0.41705209677523536
2011-07-28,18,18,7,0.3888888888888889,20.13157894736842,0.4163109597255947
2011-07-29,14,14,3,0.2142857142857142,19.974358974358974,0.41113082522713623
2011-07-30,7,7,2,0.2857142857142857,19.65,0.4079954117393149
2011-07-31,16,16,10,0.625,19.5609756097561,0.4132882065749414
2011-08-01,31,31,10,0.3225806451612903,19.833333333333332,0.41112850273175927
2011-08-02,24,24,8,0.3333333333333333,19.930232558139537,0.40931931274574934
2011-08-03,15,15,5,0.3333333333333333,19.818181818181817,0.4075923586681944
2011-08-04,13,13,4,0.3076923076923077,19.666666666666668,0.40537235753539697
2011-08-05,13,13,5,0.3846153846153846,19.52173913043478,0.4049211189936575
2011-08-06,20,20,3,0.15,19.53191489361702,0.39949726539804775
2011-08-07,12,12,1,0.0833333333333333,19.375,0.39291051681336625
2011-08-08,18,18,6,0.3333333333333333,19.346938775510203,0.39169465592601865
2011-08-09,15,15,7,0.4666666666666667,19.26,0.39319409614083156
2011-08-10,17,17,3,0.1764705882352941,19.215686274509803,0.3889446155936642
2011-08-11,8,8,1,0.125,19.0,0.38386875760147837
2011-08-12,14,14,5,0.3571428571428571,18.90566037735849,0.3833644953286741
2011-08-13,14,14,6,0.4285714285714285,18.814814814814813,0.38420166075909556
2011-08-14,9,9,4,0.4444444444444444,18.636363636363637,0.3852969840988291
2011-08-15,21,21,6,0.2857142857142857,18.678571428571427,0.38351872162767664
2011-08-16,17,17,6,0.3529411764705882,18.649122807017545,0.3829822734670259
2011-08-17,15,15,4,0.2666666666666666,18.586206896551722,0.380976831970468
2011-08-18,9,9,2,0.2222222222222222,18.423728813559322,0.3782860758730401
2011-08-19,11,11,0,0.0,18.3,0.37198130794182277
2011-08-20,3,3,1,0.3333333333333333,18.049180327868854,0.37134773458758524
2011-08-21,5,5,2,0.4,17.838709677419356,0.3718098679006887
2011-08-22,19,19,9,0.4736842105263157,17.857142857142858,0.3734269209582383
2011-08-23,20,20,9,0.45,17.890625,0.3746233753182659
2011-08-24,25,25,8,0.32,18.0,0.37378301569798483
2011-08-25,23,23,9,0.391304347826087,18.075757575757574,0.37404849042719857
2011-08-26,25,25,10,0.4,18.17910447761194,0.37443582639097167
2011-08-27,15,15,5,0.3333333333333333,18.13235294117647,0.37383137796365346
2011-08-28,12,12,3,0.25,18.043478260869566,0.3720367203120063
2011-08-29,10,10,7,0.7,17.928571428571427,0.3767219100218348
2011-08-30,16,16,7,0.4375,17.901408450704224,0.377577939458147
2011-08-31,18,18,8,0.4444444444444444,17.90277777777778,0.37850664091629
2011-09-01,18,18,7,0.3888888888888889,17.904109589041095,0.3786488634912571
2011-09-02,16,16,2,0.125,17.87837837837838,0.3752211761467807
2011-09-03,4,4,1,0.25,17.69333333333333,0.3735515604648236
2011-09-04,8,8,3,0.375,17.56578947368421,0.3735706188797601
2011-09-05,11,11,6,0.5454545454545454,17.48051948051948,0.37580287766644566
2011-09-06,24,24,5,0.2083333333333333,17.564102564102566,0.3736558322262775
2011-09-07,13,13,5,0.3846153846153846,17.50632911392405,0.37379456073753203
2011-09-08,9,9,3,0.3333333333333333,17.4,0.3732887953949796
2011-09-09,17,17,3,0.1764705882352941,17.395061728395063,0.37085894098560074
2011-09-10,9,9,2,0.2222222222222222,17.29268292682927,0.3690462980738522
2011-09-11,9,9,5,0.5555555555555556,17.19277108433735,0.3712933975615836
2011-09-12,16,16,7,0.4375,17.178571428571427,0.3720815714001362
2011-09-13,14,14,7,0.5,17.141176470588235,0.37358649408954636
2011-09-14,16,16,7,0.4375,17.127906976744185,0.3743296743908307
2011-09-15,15,15,8,0.5333333333333333,17.103448275862068,0.3761573026545376
2011-09-16,20,20,8,0.4,17.136363636363637,0.37642824239709965
2011-09-17,14,14,3,0.2142857142857142,17.10112359550562,0.3746064162385448
2011-09-18,10,10,2,0.2,17.022222222222222,0.3726663449470054
2011-09-19,11,11,4,0.3636363636363636,16.744444444444444,0.36991662553061927
2011-09-20,18,18,9,0.5,16.366666666666667,0.3703439759579697
2011-09-21,14,14,9,0.6428571428571429,16.155555555555555,0.3717629273769211
2011-09-22,28,28,12,0.4285714285714285,16.133333333333333,0.3720803876943814
2011-09-23,18,18,10,0.5555555555555556,16.144444444444446,0.371717279488136
2011-09-24,14,14,4,0.2857142857142857,16.144444444444446,0.36854267631353277
2011-09-25,6,6,3,0.5,15.922222222222222,0.3685426763135328
2011-09-26,24,24,8,0.3333333333333333,15.766666666666667,0.3655212338184061
2011-09-27,21,21,9,0.4285714285714285,15.322222222222223,0.367186599418198
2011-09-28,13,13,5,0.3846153846153846,15.188888888888888,0.3674601036917022
2011-09-29,17,17,6,0.3529411764705882,15.177777777777777,0.36952982046730143
2011-09-30,13,13,5,0.3846153846153846,15.166666666666666,0.37062872156620247
2011-10-01,13,13,6,0.4615384615384615,15.166666666666666,0.37233812327560417
2011-10-02,18,18,8,0.4444444444444444,15.188888888888888,0.3731097282138757
2011-10-03,23,23,9,0.391304347826087,15.21111111111111,0.3742829511262291
2011-10-04,14,14,8,0.5714285714285714,15.21111111111111,0.3766639035071815
2011-10-05,16,16,6,0.375,15.166666666666666,0.37749723684051484
2011-10-06,9,9,6,0.6666666666666666,15.11111111111111,0.3809363902796683
2011-10-07,18,18,1,0.0555555555555555,15.166666666666666,0.3772801699567812
2011-10-08,8,8,3,0.375,15.066666666666666,0.37752526799599695
2011-10-09,16,16,7,0.4375,14.955555555555556,0.37768552440625336
2011-10-10,14,14,3,0.2142857142857142,14.877777777777778,0.3747754714962005
2011-10-11,6,6,3,0.5,14.733333333333333,0.37682225512193146
2011-10-12,9,9,4,0.4444444444444444,14.7,0.3752790452453882
2011-10-13,17,17,5,0.2941176470588235,14.7,0.37331826093166276
2011-10-14,10,10,3,0.3,14.666666666666666,0.37152338913679095
2011-10-15,13,13,6,0.4615384615384615,14.688888888888888,0.37261119022459205
2011-10-16,15,15,6,0.4,14.622222222222222,0.37335193096533276
2011-10-17,16,16,5,0.3125,14.644444444444444,0.3704749468383487
2011-10-18,16,16,5,0.3125,14.61111111111111,0.3698536018091089
2011-10-19,23,23,9,0.391304347826087,14.722222222222221,0.36907322276786025
2011-10-20,20,20,6,0.3,14.78888888888889,0.37002560372024124
2011-10-21,11,11,6,0.5454545454545454,14.833333333333334,0.3697370034316409
2011-10-22,14,14,6,0.4285714285714285,14.88888888888889,0.36832606868737294
2011-10-23,16,16,8,0.5,14.922222222222222,0.36960811996942416
2011-10-24,18,18,5,0.2777777777777778,14.955555555555556,0.36973157675954765
2011-10-25,7,7,3,0.4285714285714285,14.911111111111111,0.3684328754608463
2011-10-26,26,26,9,0.3461538461538461,15.0,0.3679580416526791
2011-10-27,21,21,7,0.3333333333333333,15.077777777777778,0.36928079297543054
2011-10-28,41,41,6,0.1463414634146341,15.455555555555556,0.36773220606099
2011-10-29,17,17,3,0.1764705882352941,15.466666666666667,0.3627485459302709
2011-10-30,8,8,5,0.625,15.21111111111111,0.3661087609840344
2011-10-31,25,25,7,0.28,15.222222222222221,0.36551616839144185
2011-11-01,14,14,7,0.5,15.21111111111111,0.3673680202432937
2011-11-02,20,20,7,0.35,15.28888888888889,0.36783810571337916
2011-11-03,21,21,5,0.238095238095238,15.377777777777778,0.3662101040853776
2011-11-04,16,16,7,0.4375,15.333333333333334,0.369404548529822
2011-11-05,18,18,8,0.4444444444444444,15.4,0.37341689420883434
2011-11-06,16,16,10,0.625,15.377777777777778,0.3766576349495751
2011-11-07,33,33,16,0.4848484848484848,15.577777777777778,0.3768596551515953
2011-11-08,21,21,8,0.3809523809523809,15.622222222222222,0.37913167507067397
2011-11-09,30,30,13,0.4333333333333333,15.866666666666667,0.38255760099659997
2011-11-10,28,28,4,0.1428571428571428,16.022222222222222,0.38017664861564754
2011-11-11,7,7,2,0.2857142857142857,15.944444444444445,0.37858934702834596
2011-11-12,13,13,5,0.3846153846153846,15.988888888888889,0.37792457969691196
2011-11-13,8,8,3,0.375,15.844444444444445,0.3789166431889755
2011-11-14,15,15,7,0.4666666666666667,15.822222222222223,0.3801802597467097
2011-11-15,19,19,6,0.3157894736842105,15.866666666666667,0.3807260687135712
2011-11-16,17,17,8,0.4705882352941176,15.955555555555556,0.38348569108103675
2011-11-17,19,19,8,0.4210526315789473,16.044444444444444,0.38816405365413614
2011-11-18,18,18,5,0.2777777777777778,16.211111111111112,0.3875467697035189
2011-11-19,7,7,5,0.7142857142857143,16.233333333333334,0.39103883319558236
2011-11-20,7,7,5,0.7142857142857143,16.1,0.39371218323735346
2011-11-21,16,16,7,0.4375,16.055555555555557,0.39357329434846466
2011-11-22,18,18,6,0.3333333333333333,15.977777777777778,0.39372144249661273
2011-11-23,20,20,6,0.3,15.944444444444445,0.3927069497429896
2011-11-24,11,11,6,0.5454545454545454,15.78888888888889,0.3943231113591511
2011-11-25,17,17,4,0.2352941176470588,15.811111111111112,0.3932337867404148
2011-11-26,14,14,4,0.2857142857142857,15.833333333333334,0.3936306121372402
2011-11-27,10,10,4,0.4,15.833333333333334,0.39029727880390686
2011-11-28,18,18,9,0.5,15.855555555555556,0.3909917232483513
2011-11-29,32,32,12,0.375,16.011111111111113,0.3902201183100797
2011-11-30,24,24,10,0.4166666666666667,16.07777777777778,0.39052876028538835
2011-12-01,20,20,9,0.45,16.122222222222224,0.3941398713964995
2011-12-02,23,23,4,0.1739130434782608,16.333333333333332,0.3932944607684801
2011-12-03,10,10,2,0.2,16.355555555555554,0.3913500163240357
2011-12-04,12,12,6,0.5,16.366666666666667,0.3908449658189852
2011-12-05,20,20,6,0.3,16.322222222222223,0.3918634843375037
2011-12-06,19,19,9,0.4736842105263157,16.38888888888889,0.3928531379587362
2011-12-07,29,29,9,0.3103448275862069,16.61111111111111,0.3925977101171015
2011-12-08,19,19,8,0.4210526315789473,16.633333333333333,0.39531528837647545
2011-12-09,22,22,5,0.2272727272727272,16.77777777777778,0.39537140509925883
2011-12-10,13,13,2,0.1538461538461538,16.822222222222223,0.39090796730248767
2011-12-11,8,8,3,0.375,16.733333333333334,0.3902135228580432
2011-12-12,23,23,10,0.4347826086956521,16.833333333333332,0.3894888851768838
2011-12-13,22,22,12,0.5454545454545454,16.9,0.39068838012637874
2011-12-14,22,22,11,0.5,16.977777777777778,0.3903180097560084
2011-12-15,19,19,10,0.5263157894736842,16.966666666666665,0.39172151852793824
2011-12-16,22,22,9,0.4090909090909091,17.055555555555557,0.3938860206924404
2011-12-17,15,15,5,0.3333333333333333,17.11111111111111,0.39536750217392186
2011-12-18,12,12,9,0.75,17.122222222222224,0.3996604314668512
2011-12-19,21,21,15,0.7142857142857143,17.155555555555555,0.4020413838478036
2011-12-20,24,24,14,0.5833333333333334,17.266666666666666,0.40138000818642794
2011-12-21,21,21,11,0.5238095238095238,17.18888888888889,0.402438209244629
2011-12-22,22,22,7,0.3181818181818182,17.233333333333334,0.39980072327380967
2011-12-23,14,14,5,0.3571428571428571,17.233333333333334,0.40059437406746046
2011-12-24,11,11,4,0.3636363636363636,17.288888888888888,0.39907922255230893
2011-12-25,10,10,3,0.3,17.133333333333333,0.3987088521819385
2011-12-26,12,12,5,0.4166666666666667,17.033333333333335,0.3985765770496634
2011-12-27,19,19,10,0.5263157894736842,17.1,0.4001510259925335
2011-12-28,24,24,11,0.4583333333333333,17.177777777777777,0.40132204995767495
2011-12-29,23,23,7,0.3043478260869565,17.288888888888888,0.4004301881962481
2011-12-30,16,16,3,0.1875,17.322222222222223,0.39738531640137625
2011-12-31,5,5,3,0.6,17.177777777777777,0.3991137114631046
2012-01-01,10,10,5,0.5,17.033333333333335,0.40032144093170363
2012-01-02,16,16,3,0.1875,17.055555555555557,0.39605556791583063
2012-01-03,13,13,5,0.3846153846153846,17.022222222222222,0.3961624055226683
2012-01-04,23,23,4,0.1739130434782608,17.177777777777777,0.3906873652650193
2012-01-05,14,14,2,0.1428571428571428,17.133333333333333,0.39165738290170365
2012-01-06,4,4,2,0.5,17.08888888888889,0.39304627179059254
2012-01-07,12,12,5,0.4166666666666667,17.044444444444444,0.39281479030911104
2012-01-08,16,16,7,0.4375,17.066666666666666,0.39529494903926976
2012-01-09,18,18,7,0.3888888888888889,17.2,0.3940603811380352
2012-01-10,21,21,12,0.5714285714285714,17.333333333333332,0.3954713158823033
2012-01-11,26,26,10,0.3846153846153846,17.433333333333334,0.3964768462995984
2012-01-12,27,27,12,0.4444444444444444,17.622222222222224,0.39808178457120336
2012-01-13,25,25,4,0.16,17.755555555555556,0.394731357220776
2012-01-14,8,8,2,0.25,17.677777777777777,0.39306469055410936
2012-01-15,10,10,4,0.4,17.61111111111111,0.39403691277633157
2012-01-16,24,24,8,0.3333333333333333,17.7,0.39426839425781296
2012-01-17,24,24,10,0.4166666666666667,17.711111111111112,0.39455019780048617
2012-01-18,27,27,11,0.4074074074074074,17.788888888888888,0.39574361343834624
2012-01-19,24,24,6,0.25,17.933333333333334,0.3924607851555179
2012-01-20,21,21,8,0.3809523809523809,18.011111111111113,0.39193168462641736
2012-01-21,19,19,7,0.3684210526315789,18.044444444444444,0.3904696963223238
2012-01-22,17,17,12,0.7058823529411765,18.033333333333335,0.39522641382413937
2012-01-23,33,33,15,0.4545454545454545,18.322222222222223,0.39551501411273965
2012-01-24,29,29,10,0.3448275862068966,18.355555555555554,0.39550027789110687
2012-01-25,23,23,9,0.391304347826087,18.377777777777776,0.39614440027435965
2012-01-26,25,25,10,0.4,18.2,0.39896282845864156
2012-01-27,20,20,8,0.4,18.233333333333334,0.40144648858936055
2012-01-28,14,14,7,0.5,18.3,0.40005759970047167
2012-01-29,24,24,12,0.5,18.288888888888888,0.4025020441449161
2012-01-30,37,37,18,0.4864864864864865,18.544444444444444,0.4023518939947659
2012-01-31,36,36,11,0.3055555555555556,18.72222222222222,0.4018580668342721
2012-02-01,21,21,9,0.4285714285714285,18.72222222222222,0.4039744689506742
2012-02-02,40,40,8,0.2,18.988888888888887,0.40133558006178527
2012-02-03,17,17,3,0.1764705882352941,18.977777777777778,0.39835809277057255
2012-02-04,12,12,3,0.25,18.933333333333334,0.39419142610390584
2012-02-05,13,13,5,0.3846153846153846,18.711111111111112,0.39307772499020477
2012-02-06,15,15,10,0.6666666666666666,18.644444444444446,0.39625232816480793
2012-02-07,23,23,11,0.4782608695652174,18.566666666666666,0.39675152301182887
2012-02-08,33,33,12,0.3636363636363636,18.622222222222224,0.3992046254649313
2012-02-09,25,25,4,0.16,18.822222222222223,0.39780780006810595
2012-02-10,17,17,3,0.1764705882352941,18.866666666666667,0.3954950801083271
2012-02-11,12,12,5,0.4166666666666667,18.91111111111111,0.3959580430712901
2012-02-12,14,14,10,0.7142857142857143,18.9,0.39870936582261285
2012-02-13,28,28,13,0.4642857142857143,19.0,0.4003593240515185
2012-02-14,22,22,12,0.5454545454545454,19.055555555555557,0.40119117194218984
2012-02-15,21,21,11,0.5238095238095238,19.07777777777778,0.4023329151891963
2012-02-16,26,26,8,0.3076923076923077,19.166666666666668,0.40266529885491326
2012-02-17,14,14,4,0.2857142857142857,19.244444444444444,0.39790339409300846
2012-02-18,10,10,2,0.2,19.27777777777778,0.3921891083787228
2012-02-19,17,17,12,0.7058823529411765,19.288888888888888,0.39517113452251357
2012-02-20,31,31,10,0.3225806451612903,19.433333333333334,0.395051660209491
2012-02-21,27,27,8,0.2962962962962963,19.511111111111113,0.3950105079461164
2012-02-22,24,24,10,0.4166666666666667,19.655555555555555,0.3935795315151401
2012-02-23,20,20,4,0.2,19.68888888888889,0.3931873746523949
2012-02-24,17,17,4,0.2352941176470588,19.72222222222222,0.39262715056275904
2012-02-25,12,12,4,0.3333333333333333,19.744444444444444,0.39188640982201833
2012-02-26,13,13,6,0.4615384615384615,19.68888888888889,0.39145905939466785
2012-02-27,20,20,7,0.35,19.555555555555557,0.39118128161689014
2012-02-28,17,17,10,0.5882352941176471,19.477777777777778,0.39308759969967877
2012-02-29,16,16,9,0.5625,19.433333333333334,0.39433759969967874
2012-03-01,19,19,7,0.3684210526315789,19.38888888888889,0.39649879980138236
2012-03-02,16,16,2,0.125,19.455555555555556,0.395665466468049
2012-03-03,9,9,2,0.2222222222222222,19.42222222222222,0.3925790467149626
2012-03-04,13,13,8,0.6153846153846154,19.344444444444445,0.3960833202192361
2012-03-05,22,22,8,0.3636363636363636,19.377777777777776,0.3948605663649033
2012-03-06,23,23,10,0.4347826086956521,19.31111111111111,0.3962432083772305
2012-03-07,16,16,10,0.625,19.27777777777778,0.39850929024857545
2012-03-08,25,25,7,0.28,19.31111111111111,0.39909514883443403
2012-03-09,14,14,1,0.0714285714285714,19.322222222222223,0.3981793979186831
2012-03-10,9,9,4,0.4444444444444444,19.333333333333332,0.3989510028569548
2012-03-11,16,16,3,0.1875,19.255555555555556,0.396203418315892
2012-03-12,13,13,6,0.4615384615384615,19.155555555555555,0.395271017383491
2012-03-13,21,21,9,0.4285714285714285,19.144444444444446,0.3944773665898403
2012-03-14,22,22,10,0.4545454545454545,19.177777777777777,0.39367991842397104
2012-03-15,26,26,9,0.3461538461538461,19.22222222222222,0.39298061772467036
2012-03-16,21,21,3,0.1428571428571428,19.288888888888888,0.3908642156082682
2012-03-17,10,10,5,0.5,19.266666666666666,0.3880864378304904
2012-03-18,15,15,6,0.4,19.2,0.38459437433842686
2012-03-19,18,18,7,0.3888888888888889,19.133333333333333,0.3824338805112664
2012-03-20,29,29,6,0.2068965517241379,19.22222222222222,0.37891262526587327
2012-03-21,12,12,2,0.1666666666666666,19.11111111111111,0.3772291235823716
2012-03-22,16,16,7,0.4375,19.133333333333333,0.3781219807252288
2012-03-23,21,21,5,0.238095238095238,19.244444444444444,0.3767270793303273
2012-03-24,12,12,5,0.4166666666666667,19.266666666666666,0.3780233756266236
2012-03-25,17,17,7,0.4117647058823529,19.322222222222223,0.3779689093956868
2012-03-26,21,21,6,0.2857142857142857,19.344444444444445,0.3752955593539156
2012-03-27,20,20,9,0.45,19.3,0.37520296676132314
2012-03-28,18,18,11,0.6111111111111112,19.244444444444444,0.37861144770603594
2012-03-29,21,21,8,0.3809523809523809,19.3,0.3807609186055068
2012-03-30,22,22,9,0.4090909090909091,19.488888888888887,0.37863970648429474
2012-03-31,15,15,5,0.3333333333333333,19.544444444444444,0.3767878546324429
2012-04-01,9,9,4,0.4444444444444444,19.466666666666665,0.37964279290404784
2012-04-02,19,19,8,0.4210526315789473,19.533333333333335,0.3800476512036429
2012-04-03,20,20,3,0.15,19.5,0.3797819507205511
2012-04-04,15,15,6,0.4,19.511111111111113,0.38263909357769404
2012-04-05,23,23,5,0.217391304347826,19.72222222222222,0.37949899695933653
2012-04-06,11,11,2,0.1818181818181818,19.711111111111112,0.37688956934990897
2012-04-07,10,10,1,0.1,19.644444444444446,0.37313956934990894
2012-04-08,12,12,2,0.1666666666666666,19.57777777777778,0.3706704335474398
2012-04-09,8,8,0,0.0,19.433333333333334,0.36432122719823345
2012-04-10,15,15,4,0.2666666666666666,19.31111111111111,0.36301068588769214
2012-04-11,18,18,7,0.3888888888888889,19.211111111111112,0.3623934019370748
2012-04-12,16,16,7,0.4375,19.11111111111111,0.36547673527040814
2012-04-13,23,23,10,0.4347826086956521,19.27777777777778,0.3675298753670265
2012-04-14,16,16,5,0.3125,19.344444444444445,0.3665576531448043
2012-04-15,25,25,9,0.36,19.355555555555554,0.36685394944110067
2012-04-16,18,18,7,0.3888888888888889,19.288888888888888,0.3665453074657919
2012-04-17,25,25,7,0.28,19.266666666666666,0.36512966960570964
2012-04-18,16,16,4,0.25,19.177777777777777,0.36512966960570964
2012-04-19,15,15,8,0.5333333333333333,19.11111111111111,0.36682279129883133
2012-04-20,18,18,6,0.3333333333333333,19.1,0.36643292775107306
2012-04-21,9,9,6,0.6666666666666666,19.011111111111113,0.3659971979035785
2012-04-22,17,17,4,0.2352941176470588,18.833333333333332,0.3635610719380408
2012-04-23,21,21,9,0.4285714285714285,18.744444444444444,0.36449155907542446
2012-04-24,21,21,7,0.3333333333333333,18.72222222222222,0.3638474366921717
2012-04-25,18,18,9,0.5,18.644444444444446,0.36495854780328274
2012-04-26,20,20,10,0.5,18.644444444444446,0.36606965891439386
2012-04-27,22,22,4,0.1818181818181818,18.733333333333334,0.3625343053790403
2012-04-28,17,17,2,0.1176470588235294,18.655555555555555,0.3582859393659684
2012-04-29,8,8,3,0.375,18.333333333333332,0.3570472006272297
2012-04-30,21,21,7,0.3333333333333333,18.166666666666668,0.35735584260253833
