event_date,action_segment,base_users,retained_users,d1_retention
2011-06-21,answer_user_day,28,20,0.7142857142857143
2011-06-21,comment_only_user_day,2,0,0.0
2011-06-21,question_user_day,6,2,0.3333333333333333
2011-06-22,answer_user_day,34,17,0.5
2011-06-22,comment_only_user_day,10,6,0.6
2011-06-22,question_user_day,8,1,0.125
2011-06-23,answer_user_day,18,12,0.6666666666666666
2011-06-23,comment_only_user_day,9,3,0.3333333333333333
2011-06-23,question_user_day,6,2,0.3333333333333333
2011-06-24,answer_user_day,16,7,0.4375
2011-06-24,comment_only_user_day,10,3,0.3
2011-06-24,question_user_day,4,2,0.5
2011-06-25,answer_user_day,9,5,0.5555555555555556
2011-06-25,comment_only_user_day,6,3,0.5
2011-06-25,question_user_day,2,2,1.0
2011-06-26,answer_user_day,5,3,0.6
2011-06-26,comment_only_user_day,6,3,0.5
2011-06-26,question_user_day,3,2,0.6666666666666666
2011-06-27,answer_user_day,10,4,0.4
2011-06-27,comment_only_user_day,11,6,0.5454545454545454
2011-06-27,question_user_day,5,3,0.6
2011-06-28,answer_user_day,18,10,0.5555555555555556
2011-06-28,comment_only_user_day,11,7,0.6363636363636364
2011-06-28,question_user_day,9,6,0.6666666666666666
2011-06-29,answer_user_day,32,12,0.375
2011-06-29,comment_only_user_day,18,1,0.05555555555555555
2011-06-29,question_user_day,11,4,0.36363636363636365
2011-06-30,answer_user_day,13,6,0.46153846153846156
2011-06-30,comment_only_user_day,8,3,0.375
2011-06-30,question_user_day,4,0,0.0
2011-07-01,answer_user_day,10,2,0.2
2011-07-01,comment_only_user_day,4,1,0.25
2011-07-01,question_user_day,4,0,0.0
2011-07-02,answer_user_day,9,2,0.2222222222222222
2011-07-02,comment_only_user_day,2,1,0.5
2011-07-02,question_user_day,3,1,0.3333333333333333
2011-07-03,answer_user_day,7,2,0.2857142857142857
2011-07-03,comment_only_user_day,4,1,0.25
2011-07-03,question_user_day,2,1,0.5
2011-07-04,answer_user_day,5,1,0.2
2011-07-04,comment_only_user_day,7,3,0.42857142857142855
2011-07-04,question_user_day,4,2,0.5
2011-07-05,answer_user_day,8,3,0.375
2011-07-05,comment_only_user_day,6,2,0.3333333333333333
2011-07-05,question_user_day,7,1,0.14285714285714285
2011-07-06,answer_user_day,6,3,0.5
2011-07-06,comment_only_user_day,5,2,0.4
2011-07-06,question_user_day,3,0,0.0
2011-07-07,answer_user_day,9,4,0.4444444444444444
2011-07-07,comment_only_user_day,8,2,0.25
2011-07-07,question_user_day,3,0,0.0
2011-07-08,answer_user_day,7,2,0.2857142857142857
2011-07-08,comment_only_user_day,3,2,0.6666666666666666
2011-07-08,question_user_day,4,1,0.25
2011-07-09,answer_user_day,4,3,0.75
2011-07-09,comment_only_user_day,5,1,0.2
2011-07-09,question_user_day,4,1,0.25
2011-07-10,answer_user_day,8,4,0.5
2011-07-10,comment_only_user_day,7,1,0.14285714285714285
2011-07-10,question_user_day,2,1,0.5
2011-07-11,answer_user_day,15,10,0.6666666666666666
2011-07-11,comment_only_user_day,5,1,0.2
2011-07-11,question_user_day,6,0,0.0
2011-07-12,answer_user_day,14,8,0.5714285714285714
2011-07-12,comment_only_user_day,4,1,0.25
2011-07-12,question_user_day,3,1,0.3333333333333333
2011-07-13,answer_user_day,5,3,0.6
2011-07-13,comment_only_user_day,13,2,0.15384615384615385
2011-07-13,question_user_day,1,1,1.0
2011-07-14,answer_user_day,2,1,0.5
2011-07-14,comment_only_user_day,6,3,0.5
2011-07-14,question_user_day,4,3,0.75
2011-07-15,answer_user_day,10,5,0.5
2011-07-15,comment_only_user_day,5,3,0.6
2011-07-15,question_user_day,2,0,0.0
2011-07-16,answer_user_day,5,5,1.0
2011-07-16,comment_only_user_day,6,0,0.0
2011-07-16,question_user_day,2,1,0.5
2011-07-17,answer_user_day,7,3,0.42857142857142855
2011-07-17,comment_only_user_day,2,0,0.0
2011-07-17,question_user_day,2,1,0.5
2011-07-18,answer_user_day,13,5,0.38461538461538464
2011-07-18,comment_only_user_day,2,1,0.5
2011-07-18,question_user_day,6,1,0.16666666666666666
2011-07-19,answer_user_day,6,4,0.6666666666666666
2011-07-19,comment_only_user_day,5,2,0.4
2011-07-19,question_user_day,3,2,0.6666666666666666
2011-07-20,answer_user_day,7,2,0.2857142857142857
2011-07-20,comment_only_user_day,10,4,0.4
2011-07-20,question_user_day,2,1,0.5
2011-07-21,answer_user_day,6,3,0.5
2011-07-21,comment_only_user_day,2,0,0.0
2011-07-21,question_user_day,5,3,0.6
2011-07-22,answer_user_day,7,0,0.0
2011-07-22,comment_only_user_day,5,2,0.4
2011-07-22,question_user_day,2,1,0.5
2011-07-23,answer_user_day,3,2,0.6666666666666666
2011-07-23,comment_only_user_day,3,2,0.6666666666666666
2011-07-23,question_user_day,1,0,0.0
2011-07-24,answer_user_day,4,2,0.5
2011-07-24,comment_only_user_day,3,2,0.6666666666666666
2011-07-24,question_user_day,2,1,0.5
2011-07-25,answer_user_day,6,4,0.6666666666666666
2011-07-25,comment_only_user_day,4,0,0.0
2011-07-25,question_user_day,3,1,0.3333333333333333
2011-07-26,answer_user_day,7,3,0.42857142857142855
2011-07-26,comment_only_user_day,5,1,0.2
2011-07-26,question_user_day,3,0,0.0
2011-07-27,answer_user_day,6,3,0.5
2011-07-27,comment_only_user_day,4,2,0.5
2011-07-27,question_user_day,1,1,1.0
2011-07-28,answer_user_day,9,5,0.5555555555555556
2011-07-28,comment_only_user_day,7,1,0.14285714285714285
2011-07-28,question_user_day,2,1,0.5
2011-07-29,answer_user_day,3,0,0.0
2011-07-29,comment_only_user_day,6,2,0.3333333333333333
2011-07-29,question_user_day,5,1,0.2
2011-07-30,answer_user_day,4,1,0.25
2011-07-30,comment_only_user_day,2,1,0.5
2011-07-30,question_user_day,1,0,0.0
2011-07-31,answer_user_day,10,6,0.6
2011-07-31,comment_only_user_day,4,4,1.0
2011-07-31,question_user_day,2,0,0.0
2011-08-01,answer_user_day,13,4,0.3076923076923077
2011-08-01,comment_only_user_day,10,4,0.4
2011-08-01,question_user_day,8,2,0.25
2011-08-02,answer_user_day,10,4,0.4
2011-08-02,comment_only_user_day,13,4,0.3076923076923077
2011-08-02,question_user_day,1,0,0.0
2011-08-03,answer_user_day,6,3,0.5
2011-08-03,comment_only_user_day,7,2,0.2857142857142857
2011-08-03,question_user_day,2,0,0.0
2011-08-04,answer_user_day,4,2,0.5
2011-08-04,comment_only_user_day,7,2,0.2857142857142857
2011-08-04,question_user_day,2,0,0.0
2011-08-05,answer_user_day,11,4,0.36363636363636365
2011-08-05,comment_only_user_day,1,0,0.0
2011-08-05,question_user_day,1,1,1.0
2011-08-06,answer_user_day,6,1,0.16666666666666666
2011-08-06,comment_only_user_day,9,0,0.0
2011-08-06,question_user_day,5,2,0.4
2011-08-07,answer_user_day,5,1,0.2
2011-08-07,comment_only_user_day,5,0,0.0
2011-08-07,question_user_day,2,0,0.0
2011-08-08,answer_user_day,7,2,0.2857142857142857
2011-08-08,comment_only_user_day,8,2,0.25
2011-08-08,question_user_day,3,2,0.6666666666666666
2011-08-09,answer_user_day,7,4,0.5714285714285714
2011-08-09,comment_only_user_day,3,1,0.3333333333333333
2011-08-09,question_user_day,5,2,0.4
2011-08-10,answer_user_day,5,2,0.4
2011-08-10,comment_only_user_day,6,1,0.16666666666666666
2011-08-10,question_user_day,6,0,0.0
2011-08-11,answer_user_day,6,1,0.16666666666666666
2011-08-11,comment_only_user_day,1,0,0.0
2011-08-11,question_user_day,1,0,0.0
2011-08-12,answer_user_day,7,4,0.5714285714285714
2011-08-12,comment_only_user_day,2,1,0.5
2011-08-12,question_user_day,5,0,0.0
2011-08-13,answer_user_day,4,0,0.0
2011-08-13,comment_only_user_day,8,4,0.5
2011-08-13,question_user_day,2,2,1.0
2011-08-14,answer_user_day,3,1,0.3333333333333333
2011-08-14,comment_only_user_day,4,2,0.5
2011-08-14,question_user_day,2,1,0.5
2011-08-15,answer_user_day,6,2,0.3333333333333333
2011-08-15,comment_only_user_day,9,1,0.1111111111111111
2011-08-15,question_user_day,6,3,0.5
2011-08-16,answer_user_day,7,4,0.5714285714285714
2011-08-16,comment_only_user_day,8,2,0.25
2011-08-16,question_user_day,2,0,0.0
2011-08-17,answer_user_day,9,2,0.2222222222222222
2011-08-17,comment_only_user_day,3,1,0.3333333333333333
2011-08-17,question_user_day,3,1,0.3333333333333333
2011-08-18,answer_user_day,6,1,0.16666666666666666
2011-08-18,comment_only_user_day,2,0,0.0
2011-08-18,question_user_day,1,1,1.0
2011-08-19,answer_user_day,3,0,0.0
2011-08-19,comment_only_user_day,5,0,0.0
2011-08-19,question_user_day,3,0,0.0
2011-08-20,answer_user_day,1,0,0.0
2011-08-20,comment_only_user_day,2,1,0.5
2011-08-21,answer_user_day,2,0,0.0
2011-08-21,question_user_day,3,2,0.6666666666666666
2011-08-22,answer_user_day,8,3,0.375
2011-08-22,comment_only_user_day,4,1,0.25
2011-08-22,question_user_day,7,5,0.7142857142857143
2011-08-23,answer_user_day,5,1,0.2
2011-08-23,comment_only_user_day,8,3,0.375
2011-08-23,question_user_day,7,5,0.7142857142857143
2011-08-24,answer_user_day,15,5,0.3333333333333333
2011-08-24,comment_only_user_day,7,3,0.42857142857142855
2011-08-24,question_user_day,3,0,0.0
2011-08-25,answer_user_day,12,5,0.4166666666666667
2011-08-25,comment_only_user_day,10,3,0.3
2011-08-25,question_user_day,1,1,1.0
2011-08-26,answer_user_day,11,6,0.5454545454545454
2011-08-26,comment_only_user_day,12,4,0.3333333333333333
2011-08-26,question_user_day,2,0,0.0
2011-08-27,answer_user_day,8,3,0.375
2011-08-27,comment_only_user_day,5,1,0.2
2011-08-27,question_user_day,2,1,0.5
2011-08-28,answer_user_day,6,3,0.5
2011-08-28,comment_only_user_day,4,0,0.0
2011-08-28,question_user_day,2,0,0.0
2011-08-29,answer_user_day,4,3,0.75
2011-08-29,comment_only_user_day,3,2,0.6666666666666666
2011-08-29,question_user_day,3,2,0.6666666666666666
2011-08-30,answer_user_day,11,7,0.6363636363636364
2011-08-30,comment_only_user_day,3,0,0.0
2011-08-30,question_user_day,2,0,0.0
2011-08-31,answer_user_day,7,4,0.5714285714285714
2011-08-31,comment_only_user_day,6,2,0.3333333333333333
2011-08-31,question_user_day,5,2,0.4
2011-09-01,answer_user_day,11,4,0.36363636363636365
2011-09-01,comment_only_user_day,6,2,0.3333333333333333
2011-09-01,question_user_day,1,1,1.0
2011-09-02,answer_user_day,6,2,0.3333333333333333
2011-09-02,comment_only_user_day,8,0,0.0
2011-09-02,question_user_day,2,0,0.0
2011-09-03,answer_user_day,2,0,0.0
2011-09-03,comment_only_user_day,2,1,0.5
2011-09-04,answer_user_day,6,3,0.5
2011-09-04,comment_only_user_day,1,0,0.0
2011-09-04,question_user_day,1,0,0.0
2011-09-05,answer_user_day,4,2,0.5
2011-09-05,comment_only_user_day,5,2,0.4
2011-09-05,question_user_day,2,2,1.0
2011-09-06,answer_user_day,12,3,0.25
2011-09-06,comment_only_user_day,6,0,0.0
2011-09-06,question_user_day,6,2,0.3333333333333333
2011-09-07,answer_user_day,7,2,0.2857142857142857
2011-09-07,comment_only_user_day,3,1,0.3333333333333333
2011-09-07,question_user_day,3,2,0.6666666666666666
2011-09-08,answer_user_day,3,1,0.3333333333333333
2011-09-08,comment_only_user_day,5,1,0.2
2011-09-08,question_user_day,1,1,1.0
2011-09-09,answer_user_day,10,1,0.1
2011-09-09,comment_only_user_day,6,2,0.3333333333333333
2011-09-09,question_user_day,1,0,0.0
2011-09-10,answer_user_day,2,1,0.5
2011-09-10,comment_only_user_day,5,0,0.0
2011-09-10,question_user_day,2,1,0.5
2011-09-11,answer_user_day,5,3,0.6
2011-09-11,comment_only_user_day,2,1,0.5
2011-09-11,question_user_day,2,1,0.5
2011-09-12,answer_user_day,11,5,0.45454545454545453
2011-09-12,comment_only_user_day,2,1,0.5
2011-09-12,question_user_day,3,1,0.3333333333333333
2011-09-13,answer_user_day,8,3,0.375
2011-09-13,comment_only_user_day,5,4,0.8
2011-09-13,question_user_day,1,0,0.0
2011-09-14,answer_user_day,3,2,0.6666666666666666
2011-09-14,comment_only_user_day,9,4,0.4444444444444444
2011-09-14,question_user_day,4,1,0.25
2011-09-15,answer_user_day,6,3,0.5
2011-09-15,comment_only_user_day,6,4,0.6666666666666666
2011-09-15,question_user_day,3,1,0.3333333333333333
2011-09-16,answer_user_day,11,7,0.6363636363636364
2011-09-16,comment_only_user_day,6,1,0.16666666666666666
2011-09-16,question_user_day,3,0,0.0
2011-09-17,answer_user_day,7,1,0.14285714285714285
2011-09-17,comment_only_user_day,3,1,0.3333333333333333
2011-09-17,question_user_day,4,1,0.25
2011-09-18,answer_user_day,4,0,0.0
2011-09-18,comment_only_user_day,4,1,0.25
2011-09-18,question_user_day,2,1,0.5
2011-09-19,answer_user_day,5,2,0.4
2011-09-19,comment_only_user_day,5,2,0.4
2011-09-19,question_user_day,1,0,0.0
2011-09-20,answer_user_day,11,7,0.6363636363636364
2011-09-20,comment_only_user_day,4,1,0.25
2011-09-20,question_user_day,3,1,0.3333333333333333
2011-09-21,answer_user_day,6,4,0.6666666666666666
2011-09-21,comment_only_user_day,6,3,0.5
2011-09-21,question_user_day,2,2,1.0
2011-09-22,answer_user_day,17,8,0.47058823529411764
2011-09-22,comment_only_user_day,5,2,0.4
2011-09-22,question_user_day,6,2,0.3333333333333333
2011-09-23,answer_user_day,8,7,0.875
2011-09-23,comment_only_user_day,8,1,0.125
2011-09-23,question_user_day,2,2,1.0
2011-09-24,answer_user_day,9,3,0.3333333333333333
2011-09-24,comment_only_user_day,4,1,0.25
2011-09-24,question_user_day,1,0,0.0
2011-09-25,answer_user_day,3,3,1.0
2011-09-25,comment_only_user_day,2,0,0.0
2011-09-25,question_user_day,1,0,0.0
2011-09-26,answer_user_day,12,4,0.3333333333333333
2011-09-26,comment_only_user_day,7,2,0.2857142857142857
2011-09-26,question_user_day,5,2,0.4
2011-09-27,answer_user_day,9,5,0.5555555555555556
2011-09-27,comment_only_user_day,8,2,0.25
2011-09-27,question_user_day,4,2,0.5
2011-09-28,answer_user_day,7,3,0.42857142857142855
2011-09-28,comment_only_user_day,4,2,0.5
2011-09-28,question_user_day,2,0,0.0
2011-09-29,answer_user_day,10,3,0.3
2011-09-29,comment_only_user_day,4,1,0.25
2011-09-29,question_user_day,3,2,0.6666666666666666
2011-09-30,answer_user_day,8,2,0.25
2011-09-30,comment_only_user_day,2,1,0.5
2011-09-30,question_user_day,3,2,0.6666666666666666
2011-10-01,answer_user_day,6,3,0.5
2011-10-01,comment_only_user_day,4,2,0.5
