event_date,community,dau
2025-12-01,fitness,7
2025-12-01,food,6
2025-12-01,games,9
2025-12-01,study,12
2025-12-01,tech,12
2025-12-01,travel,9
2025-12-02,fitness,12
2025-12-02,food,9
2025-12-02,games,10
2025-12-02,study,3
2025-12-02,tech,5
2025-12-02,travel,9
2025-12-03,fitness,7
2025-12-03,food,9
2025-12-03,games,9
2025-12-03,study,9
2025-12-03,tech,11
2025-12-03,travel,10
2025-12-04,fitness,9
2025-12-04,food,11
2025-12-04,games,8
2025-12-04,study,7
2025-12-04,tech,9
2025-12-04,travel,8
2025-12-05,fitness,9
2025-12-05,food,8
2025-12-05,games,5
2025-12-05,study,9
2025-12-05,tech,6
2025-12-05,travel,7
2025-12-06,fitness,9
2025-12-06,food,10
2025-12-06,games,5
2025-12-06,study,10
2025-12-06,tech,14
2025-12-06,travel,6
2025-12-07,fitness,15
2025-12-07,food,10
2025-12-07,games,14
2025-12-07,study,10
2025-12-07,tech,15
2025-12-07,travel,15
2025-12-08,fitness,7
2025-12-08,food,8
2025-12-08,games,6
2025-12-08,study,10
2025-12-08,tech,7
2025-12-08,travel,5
2025-12-09,fitness,3
2025-12-09,food,8
2025-12-09,games,10
2025-12-09,study,8
2025-12-09,tech,10
2025-12-09,travel,9
2025-12-10,fitness,15
2025-12-10,food,13
2025-12-10,games,8
2025-12-10,study,16
2025-12-10,tech,10
2025-12-10,travel,10
2025-12-11,fitness,10
2025-12-11,food,9
2025-12-11,games,8
2025-12-11,study,9
2025-12-11,tech,7
2025-12-11,travel,11
2025-12-12,fitness,8
2025-12-12,food,12
2025-12-12,games,10
2025-12-12,study,7
2025-12-12,tech,13
2025-12-12,travel,11
2025-12-13,fitness,12
2025-12-13,food,15
2025-12-13,games,12
2025-12-13,study,13
2025-12-13,tech,12
2025-12-13,travel,9
2025-12-14,fitness,17
2025-12-14,food,19
2025-12-14,games,11
2025-12-14,study,14
2025-12-14,tech,14
2025-12-14,travel,14
2025-12-15,fitness,13
2025-12-15,food,11
2025-12-15,games,7
2025-12-15,study,11
2025-12-15,tech,11
2025-12-15,travel,9
2025-12-16,fitness,9
2025-12-16,food,7
2025-12-16,games,12
2025-12-16,study,10
2025-12-16,tech,7
2025-12-16,travel,6
2025-12-17,fitness,10
2025-12-17,food,11
2025-12-17,games,9
2025-12-17,study,9
2025-12-17,tech,7
2025-12-17,travel,11
2025-12-18,fitness,11
2025-12-18,food,12
2025-12-18,games,10
2025-12-18,study,10
2025-12-18,tech,14
2025-12-18,travel,13
2025-12-19,fitness,13
2025-12-19,food,8
2025-12-19,games,9
2025-12-19,study,8
2025-12-19,tech,6
2025-12-19,travel,8
2025-12-20,fitness,17
2025-12-20,food,19
2025-12-20,games,17
2025-12-20,study,13
2025-12-20,tech,17
2025-12-20,travel,16
2025-12-21,fitness,20
2025-12-21,food,13
2025-12-21,games,13
2025-12-21,study,14
2025-12-21,tech,17
2025-12-21,travel,16
