action,date,base_users,returned_users,d1_retention,ci_low,ci_high
comment,2025-12-01,7,2,0.286,0.082,0.641
comment,2025-12-02,8,1,0.125,0.022,0.471
comment,2025-12-03,8,2,0.25,0.071,0.591
comment,2025-12-04,8,3,0.375,0.137,0.694
comment,2025-12-05,6,2,0.333,0.097,0.7
comment,2025-12-06,6,1,0.167,0.03,0.564
comment,2025-12-07,13,1,0.077,0.014,0.333
comment,2025-12-08,5,2,0.4,0.118,0.769
comment,2025-12-09,9,2,0.222,0.063,0.547
comment,2025-12-10,10,3,0.3,0.108,0.603
comment,2025-12-11,7,2,0.286,0.082,0.641
comment,2025-12-12,13,3,0.231,0.082,0.503
comment,2025-12-13,9,3,0.333,0.121,0.646
comment,2025-12-14,13,6,0.462,0.232,0.709
comment,2025-12-15,8,0,0.0,0.0,0.324
comment,2025-12-16,11,2,0.182,0.051,0.477
comment,2025-12-17,9,4,0.444,0.189,0.733
comment,2025-12-18,14,1,0.071,0.013,0.315
comment,2025-12-19,9,4,0.444,0.189,0.733
comment,2025-12-20,15,6,0.4,0.198,0.643
like,2025-12-01,11,4,0.364,0.152,0.646
like,2025-12-02,8,3,0.375,0.137,0.694
like,2025-12-03,11,1,0.091,0.016,0.377
like,2025-12-04,11,2,0.182,0.051,0.477
like,2025-12-05,9,2,0.222,0.063,0.547
like,2025-12-06,13,5,0.385,0.177,0.645
like,2025-12-07,17,2,0.118,0.033,0.343
like,2025-12-08,9,3,0.333,0.121,0.646
like,2025-12-09,9,2,0.222,0.063,0.547
like,2025-12-10,13,3,0.231,0.082,0.503
like,2025-12-11,14,3,0.214,0.076,0.476
like,2025-12-12,12,2,0.167,0.047,0.448
like,2025-12-13,16,6,0.375,0.185,0.614
like,2025-12-14,17,4,0.235,0.096,0.473
like,2025-12-15,14,4,0.286,0.117,0.546
like,2025-12-16,10,1,0.1,0.018,0.404
like,2025-12-17,10,2,0.2,0.057,0.51
like,2025-12-18,14,1,0.071,0.013,0.315
like,2025-12-19,11,6,0.545,0.28,0.787
like,2025-12-20,22,10,0.455,0.269,0.653
post,2025-12-01,6,3,0.5,0.188,0.812
post,2025-12-02,0,0,,,
post,2025-12-03,3,1,0.333,0.061,0.792
post,2025-12-04,1,1,1.0,0.207,1.0
post,2025-12-05,1,0,0.0,0.0,0.793
post,2025-12-06,1,1,1.0,0.207,1.0
post,2025-12-07,5,1,0.2,0.036,0.624
post,2025-12-08,3,2,0.667,0.208,0.939
post,2025-12-09,5,0,0.0,0.0,0.434
post,2025-12-10,4,1,0.25,0.046,0.699
post,2025-12-11,4,0,0.0,0.0,0.49
post,2025-12-12,6,1,0.167,0.03,0.564
post,2025-12-13,5,2,0.4,0.118,0.769
post,2025-12-14,6,2,0.333,0.097,0.7
post,2025-12-15,2,1,0.5,0.095,0.905
post,2025-12-16,3,0,0.0,0.0,0.562
post,2025-12-17,6,2,0.333,0.097,0.7
post,2025-12-18,3,0,0.0,0.0,0.562
post,2025-12-19,4,2,0.5,0.15,0.85
post,2025-12-20,8,3,0.375,0.137,0.694
view,2025-12-01,16,4,0.25,0.102,0.495
view,2025-12-02,15,2,0.133,0.037,0.379
view,2025-12-03,14,3,0.214,0.076,0.476
view,2025-12-04,18,3,0.167,0.058,0.392
view,2025-12-05,14,4,0.286,0.117,0.546
view,2025-12-06,19,4,0.211,0.085,0.433
view,2025-12-07,19,2,0.105,0.029,0.314
view,2025-12-08,14,3,0.214,0.076,0.476
view,2025-12-09,15,2,0.133,0.037,0.379
view,2025-12-10,21,5,0.238,0.106,0.451
view,2025-12-11,17,4,0.235,0.096,0.473
view,2025-12-12,17,3,0.176,0.062,0.41
view,2025-12-13,20,8,0.4,0.219,0.613
view,2025-12-14,27,6,0.222,0.106,0.408
view,2025-12-15,19,6,0.316,0.154,0.54
view,2025-12-16,12,3,0.25,0.089,0.532
view,2025-12-17,18,8,0.444,0.246,0.663
view,2025-12-18,23,1,0.043,0.008,0.21
view,2025-12-19,13,6,0.462,0.232,0.709
view,2025-12-20,24,11,0.458,0.279,0.649
