community,action,avg_d1_retention,agg_d1_retention,days,total_base
travel,post,0.292,0.273,8,11
tech,post,0.15,0.231,10,13
fitness,comment,0.148,0.205,18,39
study,comment,0.15,0.188,18,48
study,post,0.25,0.188,12,16
travel,comment,0.154,0.171,15,41
food,view,0.149,0.167,20,144
fitness,view,0.142,0.164,20,140
tech,like,0.136,0.164,20,73
food,like,0.202,0.162,20,74
travel,view,0.151,0.156,20,141
food,comment,0.102,0.146,18,41
games,view,0.17,0.144,20,125
tech,comment,0.087,0.122,19,49
fitness,like,0.118,0.121,20,66
study,like,0.115,0.118,18,51
games,like,0.101,0.115,19,61
fitness,post,0.136,0.111,11,18
study,view,0.115,0.098,20,132
travel,like,0.072,0.098,20,51
tech,view,0.066,0.087,20,126
food,post,0.083,0.077,12,13
games,comment,0.059,0.029,17,35
games,post,0.0,0.0,10,13
