community,action,agg_d1,total_base,total_returned
fitness,comment,0.20512820512820512,39,8
fitness,like,0.12121212121212122,66,8
fitness,post,0.1111111111111111,18,2
fitness,view,0.16428571428571428,140,23
food,comment,0.14634146341463414,41,6
food,like,0.16216216216216217,74,12
food,post,0.07692307692307693,13,1
food,view,0.16666666666666666,144,24
games,comment,0.02857142857142857,35,1
games,like,0.11475409836065574,61,7
games,post,0.0,13,0
games,view,0.144,125,18
study,comment,0.1875,48,9
study,like,0.11764705882352941,51,6
study,post,0.1875,16,3
study,view,0.09848484848484848,132,13
tech,comment,0.12244897959183673,49,6
tech,like,0.1643835616438356,73,12
tech,post,0.23076923076923078,13,3
tech,view,0.0873015873015873,126,11
travel,comment,0.17073170731707318,41,7
travel,like,0.09803921568627451,51,5
travel,post,0.2727272727272727,11,3
travel,view,0.15602836879432624,141,22
