date,action,base,returned,d1_retention
2025-12-01,comment,0,0,
2025-12-02,comment,1,0,0.0
2025-12-03,comment,2,1,0.5
2025-12-04,comment,0,0,
2025-12-05,comment,2,0,0.0
2025-12-06,comment,2,0,0.0
2025-12-07,comment,5,0,0.0
2025-12-08,comment,0,0,
2025-12-09,comment,3,0,0.0
2025-12-10,comment,2,0,0.0
2025-12-11,comment,1,0,0.0
2025-12-12,comment,3,0,0.0
2025-12-13,comment,0,0,
2025-12-14,comment,3,1,0.3333333333333333
2025-12-15,comment,2,0,0.0
2025-12-16,comment,2,0,0.0
2025-12-17,comment,0,0,
2025-12-18,comment,7,1,0.14285714285714285
2025-12-19,comment,3,2,0.6666666666666666
2025-12-20,comment,3,2,0.6666666666666666
2025-12-01,post,1,0,0.0
2025-12-02,post,0,0,
2025-12-03,post,1,0,0.0
2025-12-04,post,0,0,
2025-12-05,post,1,0,0.0
2025-12-06,post,0,0,
2025-12-07,post,0,0,
2025-12-08,post,1,1,1.0
2025-12-09,post,0,0,
2025-12-10,post,0,0,
2025-12-11,post,0,0,
2025-12-12,post,3,1,0.3333333333333333
2025-12-13,post,1,1,1.0
2025-12-14,post,0,0,
2025-12-15,post,0,0,
2025-12-16,post,0,0,
2025-12-17,post,2,0,0.0
2025-12-18,post,0,0,
2025-12-19,post,0,0,
2025-12-20,post,1,0,0.0
2025-12-01,like,4,1,0.25
2025-12-02,like,1,0,0.0
2025-12-03,like,3,0,0.0
2025-12-04,like,4,0,0.0
2025-12-05,like,1,0,0.0
2025-12-06,like,1,0,0.0
2025-12-07,like,4,0,0.0
2025-12-08,like,1,0,0.0
2025-12-09,like,1,0,0.0
2025-12-10,like,2,0,0.0
2025-12-11,like,4,0,0.0
2025-12-12,like,2,0,0.0
2025-12-13,like,4,1,0.25
2025-12-14,like,2,0,0.0
2025-12-15,like,4,1,0.25
2025-12-16,like,1,0,0.0
2025-12-17,like,3,0,0.0
2025-12-18,like,2,0,0.0
2025-12-19,like,2,1,0.5
2025-12-20,like,5,1,0.2
2025-12-01,view,8,1,0.125
2025-12-02,view,7,2,0.2857142857142857
2025-12-03,view,8,1,0.125
2025-12-04,view,7,1,0.14285714285714285
2025-12-05,view,6,0,0.0
2025-12-06,view,4,0,0.0
2025-12-07,view,8,1,0.125
2025-12-08,view,4,1,0.25
2025-12-09,view,6,0,0.0
2025-12-10,view,7,1,0.14285714285714285
2025-12-11,view,8,0,0.0
2025-12-12,view,7,1,0.14285714285714285
2025-12-13,view,6,1,0.16666666666666666
2025-12-14,view,11,2,0.18181818181818182
2025-12-15,view,5,0,0.0
2025-12-16,view,4,2,0.5
2025-12-17,view,9,3,0.3333333333333333
2025-12-18,view,8,0,0.0
2025-12-19,view,5,1,0.2
2025-12-20,view,13,4,0.3076923076923077
