date,view_only_base,view_only_returned,view_only_rate,view_comment_base,view_comment_returned,view_comment_rate,lift,ratio
2025-12-01,8,1,0.125,0,0,,,
2025-12-02,7,2,0.2857142857142857,0,0,,,
2025-12-03,7,0,0.0,1,1,1.0,1.0,
2025-12-04,7,1,0.14285714285714285,0,0,,,
2025-12-05,5,0,0.0,1,0,0.0,0.0,
2025-12-06,4,0,0.0,0,0,,,
2025-12-07,8,1,0.125,0,0,,,
2025-12-08,4,1,0.25,0,0,,,
2025-12-09,6,0,0.0,0,0,,,
2025-12-10,7,1,0.14285714285714285,0,0,,,
2025-12-11,8,0,0.0,0,0,,,
2025-12-12,6,1,0.16666666666666666,1,0,0.0,-0.16666666666666666,0.0
2025-12-13,6,1,0.16666666666666666,0,0,,,
2025-12-14,9,1,0.1111111111111111,2,1,0.5,0.3888888888888889,4.5
2025-12-15,5,0,0.0,0,0,,,
2025-12-16,3,2,0.6666666666666666,1,0,0.0,-0.6666666666666666,0.0
2025-12-17,9,3,0.3333333333333333,0,0,,,
2025-12-18,4,0,0.0,4,0,0.0,0.0,
2025-12-19,5,1,0.2,0,0,,,
2025-12-20,10,2,0.2,3,2,0.6666666666666666,0.4666666666666666,3.333333333333333
