bucket,group,base,returned,date,rate
L1_1event,view_only,3,0,2025-12-01,0.0
L2_2events,view_only,2,0,2025-12-01,0.0
L3_3plus,view_only,3,1,2025-12-01,0.3333333333333333
L1_1event,view_only,6,2,2025-12-02,0.3333333333333333
L3_3plus,view_only,1,0,2025-12-02,0.0
L1_1event,view_only,3,0,2025-12-03,0.0
L2_2events,view_comment,1,1,2025-12-03,1.0
L2_2events,view_only,2,0,2025-12-03,0.0
L3_3plus,view_only,2,0,2025-12-03,0.0
L1_1event,view_only,4,1,2025-12-04,0.25
L2_2events,view_only,3,0,2025-12-04,0.0
L1_1event,view_only,2,0,2025-12-05,0.0
L2_2events,view_comment,1,0,2025-12-05,0.0
L2_2events,view_only,1,0,2025-12-05,0.0
L3_3plus,view_only,2,0,2025-12-05,0.0
L1_1event,view_only,3,0,2025-12-06,0.0
L2_2events,view_only,1,0,2025-12-06,0.0
L1_1event,view_only,6,0,2025-12-07,0.0
L2_2events,view_only,2,1,2025-12-07,0.5
L1_1event,view_only,3,1,2025-12-08,0.3333333333333333
L2_2events,view_only,1,0,2025-12-08,0.0
L1_1event,view_only,5,0,2025-12-09,0.0
L2_2events,view_only,1,0,2025-12-09,0.0
L1_1event,view_only,3,0,2025-12-10,0.0
L2_2events,view_only,4,1,2025-12-10,0.25
L1_1event,view_only,6,0,2025-12-11,0.0
L2_2events,view_only,2,0,2025-12-11,0.0
L1_1event,view_only,3,0,2025-12-12,0.0
L2_2events,view_comment,1,0,2025-12-12,0.0
L2_2events,view_only,2,1,2025-12-12,0.5
L3_3plus,view_only,1,0,2025-12-12,0.0
L1_1event,view_only,3,1,2025-12-13,0.3333333333333333
L2_2events,view_only,3,0,2025-12-13,0.0
L1_1event,view_only,7,1,2025-12-14,0.14285714285714285
L2_2events,view_comment,2,1,2025-12-14,0.5
L2_2events,view_only,2,0,2025-12-14,0.0
L1_1event,view_only,4,0,2025-12-15,0.0
L2_2events,view_only,1,0,2025-12-15,0.0
L1_1event,view_only,3,2,2025-12-16,0.6666666666666666
L2_2events,view_comment,1,0,2025-12-16,0.0
L1_1event,view_only,6,3,2025-12-17,0.5
L2_2events,view_only,2,0,2025-12-17,0.0
L3_3plus,view_only,1,0,2025-12-17,0.0
L1_1event,view_only,4,0,2025-12-18,0.0
L2_2events,view_comment,4,0,2025-12-18,0.0
L1_1event,view_only,3,0,2025-12-19,0.0
L2_2events,view_only,2,1,2025-12-19,0.5
L1_1event,view_only,7,1,2025-12-20,0.14285714285714285
L2_2events,view_comment,2,2,2025-12-20,1.0
L2_2events,view_only,3,1,2025-12-20,0.3333333333333333
L3_3plus,view_comment,1,0,2025-12-20,0.0
