user_id,event_date,community,content_type,action
u020,2025-12-01,tech,image,comment
u020,2025-12-01,study,image,comment
u051,2025-12-01,games,image,post
u007,2025-12-01,fitness,text,view
u007,2025-12-01,study,video,like
u007,2025-12-01,study,image,view
u010,2025-12-01,study,image,view
u010,2025-12-01,study,text,like
u010,2025-12-01,travel,image,like
u010,2025-12-01,travel,text,view
u069,2025-12-01,tech,image,like
u069,2025-12-01,food,text,view
u069,2025-12-01,tech,text,comment
u069,2025-12-01,games,text,like
u013,2025-12-01,food,text,view
u013,2025-12-01,games,video,view
u013,2025-12-01,study,image,view
u013,2025-12-01,food,text,comment
u013,2025-12-01,travel,image,view
u013,2025-12-01,games,video,view
u013,2025-12-01,tech,text,view
u047,2025-12-01,tech,video,like
u047,2025-12-01,travel,video,view
u047,2025-12-01,travel,text,view
u047,2025-12-01,travel,text,like
u047,2025-12-01,fitness,image,like
u008,2025-12-01,travel,text,view
u008,2025-12-01,study,text,view
u008,2025-12-01,travel,video,view
u008,2025-12-01,travel,video,view
u008,2025-12-01,travel,video,like
u008,2025-12-01,fitness,text,view
u008,2025-12-01,games,text,like
u065,2025-12-01,games,text,view
u065,2025-12-01,study,image,view
u065,2025-12-01,tech,video,post
u028,2025-12-01,tech,image,view
u005,2025-12-01,travel,text,view
u005,2025-12-01,games,text,like
u005,2025-12-01,travel,text,post
u005,2025-12-01,games,text,view
u005,2025-12-01,study,text,like
u005,2025-12-01,games,text,view
u005,2025-12-01,travel,text,view
u012,2025-12-01,study,text,post
u012,2025-12-01,travel,video,view
u012,2025-12-01,travel,text,view
u012,2025-12-01,tech,text,view
u012,2025-12-01,tech,text,view
u056,2025-12-01,study,text,view
u054,2025-12-01,food,video,like
u009,2025-12-01,food,text,like
u009,2025-12-01,food,image,comment
u031,2025-12-01,study,video,like
u031,2025-12-01,fitness,video,post
u031,2025-12-01,tech,video,comment
u031,2025-12-01,travel,text,view
u031,2025-12-01,games,image,view
u031,2025-12-01,fitness,image,view
u076,2025-12-01,tech,video,view
u076,2025-12-01,food,text,post
u076,2025-12-01,travel,text,view
u076,2025-12-01,study,video,view
u076,2025-12-01,games,text,like
u076,2025-12-01,tech,text,like
u036,2025-12-01,tech,image,comment
u036,2025-12-01,fitness,text,view
u071,2025-12-01,tech,text,view
u071,2025-12-01,games,image,view
u071,2025-12-01,fitness,text,view
u071,2025-12-01,travel,video,like
u071,2025-12-01,study,video,view
u071,2025-12-01,food,text,like
u004,2025-12-01,tech,image,view
u004,2025-12-01,fitness,text,view
u004,2025-12-01,fitness,text,comment
u038,2025-12-02,fitness,image,comment
u065,2025-12-02,travel,image,view
u065,2025-12-02,games,text,view
u065,2025-12-02,study,text,view
u031,2025-12-02,games,text,comment
u031,2025-12-02,games,text,view
u076,2025-12-02,games,text,like
u042,2025-12-02,travel,text,like
u042,2025-12-02,study,video,comment
u042,2025-12-02,food,video,like
u042,2025-12-02,fitness,video,comment
u034,2025-12-02,travel,text,view
u034,2025-12-02,fitness,text,view
u034,2025-12-02,food,image,view
u070,2025-12-02,tech,image,comment
u070,2025-12-02,fitness,video,view
u070,2025-12-02,games,text,view
u054,2025-12-02,tech,video,view
u054,2025-12-02,travel,video,view
u054,2025-12-02,travel,text,view
u054,2025-12-02,tech,text,view
u054,2025-12-02,travel,text,view
u054,2025-12-02,food,text,view
u054,2025-12-02,games,text,view
u054,2025-12-02,fitness,video,comment
u017,2025-12-02,food,text,view
u017,2025-12-02,food,image,like
u008,2025-12-02,tech,video,comment
u008,2025-12-02,fitness,text,view
u008,2025-12-02,travel,image,view
u008,2025-12-02,games,image,view
u008,2025-12-02,games,text,view
u008,2025-12-02,games,video,view
u008,2025-12-02,fitness,text,view
u046,2025-12-02,food,video,view
u046,2025-12-02,food,image,view
u059,2025-12-02,fitness,video,view
u067,2025-12-02,fitness,text,view
u067,2025-12-02,food,text,view
u067,2025-12-02,travel,text,view
u073,2025-12-02,games,video,view
u073,2025-12-02,games,image,view
u073,2025-12-02,fitness,text,like
u079,2025-12-02,games,image,comment
u079,2025-12-02,tech,text,like
u079,2025-12-02,travel,video,comment
u079,2025-12-02,fitness,video,view
u072,2025-12-02,tech,image,view
u072,2025-12-02,food,video,view
u072,2025-12-02,games,text,comment
u072,2025-12-02,food,text,like
u072,2025-12-02,tech,video,view
u072,2025-12-02,tech,video,comment
u020,2025-12-02,games,text,like
u020,2025-12-02,travel,text,view
u020,2025-12-02,food,video,view
u020,2025-12-02,fitness,text,view
u075,2025-12-02,fitness,text,view
u075,2025-12-02,travel,text,view
u075,2025-12-02,fitness,text,like
u075,2025-12-02,food,video,view
u075,2025-12-02,study,text,view
u039,2025-12-03,study,text,like
u039,2025-12-03,study,image,view
u039,2025-12-03,games,video,comment
u039,2025-12-03,tech,image,like
u039,2025-12-03,fitness,text,like
u039,2025-12-03,tech,text,view
u039,2025-12-03,travel,image,view
u080,2025-12-03,tech,text,like
u030,2025-12-03,games,image,view
u030,2025-12-03,study,text,view
u030,2025-12-03,tech,image,view
u030,2025-12-03,games,video,view
u030,2025-12-03,fitness,text,view
u011,2025-12-03,travel,text,view
u011,2025-12-03,food,image,comment
u011,2025-12-03,tech,text,like
u011,2025-12-03,food,text,like
u011,2025-12-03,food,image,like
u011,2025-12-03,travel,text,view
